epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8346,2.88156,11.3726,2.48187,0.24316,0.09091,0.0775,0.07133,2.2619,62.3543,1.9602,0.000317556,0.000317556,0.000317556
2,23.0441,2.9604,11.5273,2.23104,0.5,0.08753,0.0925,0.08563,2.40694,60.1032,1.94502,0.000787339,0.000787339,0.000787339
3,25.3422,3.28272,12.7253,2.44405,0.93973,0.13636,0.14454,0.0879,2.61108,23.7619,1.9844,0.00124926,0.00124926,0.00124926
4,27.7675,2.38604,8.84278,2.0625,0.72857,0.09091,0.10314,0.06367,3.10226,22.3081,2.79764,0.00139363,0.00139363,0.00139363
5,30.0655,2.64508,2.93227,1.97857,0.24584,0.2076,0.10671,0.03704,3.72343,43.5301,3.11392,0.00138184,0.00138184,0.00138184
6,32.3496,1.36112,1.98976,1.06434,0.66754,0.04545,0.06805,0.03915,2.6932,38.5719,2.31134,0.00137005,0.00137005,0.00137005
7,34.6307,1.28307,1.55738,1.03421,0.91134,0.20456,0.23689,0.11014,2.5028,15.3344,1.82714,0.00135826,0.00135826,0.00135826
8,37.0286,2.07396,1.64905,1.56309,0.61353,0.48701,0.46771,0.23665,2.17575,6.15241,1.76533,0.00134648,0.00134648,0.00134648
9,39.4295,1.90856,1.71468,1.63397,0.57101,0.37013,0.40143,0.13793,2.57315,9.40405,1.87025,0.00133469,0.00133469,0.00133469
10,41.7349,2.2843,1.85665,1.64672,0.46998,0.3876,0.36747,0.16301,2.46047,17.1315,1.85271,0.0013229,0.0013229,0.0013229
11,44.0308,1.80456,1.44027,1.42401,0.62383,0.34416,0.38964,0.18812,2.16282,5.79192,1.71727,0.00131111,0.00131111,0.00131111
12,46.3286,1.24499,1.21574,1.03173,0.78523,0.38309,0.45029,0.23443,1.91226,4.96539,1.58753,0.00129932,0.00129932,0.00129932
13,48.5816,1.68365,1.76619,1.42105,0.82433,0.50635,0.50791,0.28652,1.4513,4.53949,1.31413,0.00128753,0.00128753,0.00128753
14,51.0742,2.04812,1.61922,1.48524,0.60018,0.50649,0.46842,0.26808,1.43587,2.51467,1.33344,0.00127574,0.00127574,0.00127574
15,53.389,1.8034,1.30653,1.41448,0.56937,0.46104,0.48102,0.28854,1.50025,2.35786,1.39147,0.00126395,0.00126395,0.00126395
16,55.7279,1.68616,1.39651,1.43221,0.85631,0.38961,0.49143,0.28359,1.7646,1.72893,1.49755,0.00125216,0.00125216,0.00125216
17,58.0013,1.41349,1.13345,1.26701,0.37698,0.53247,0.37449,0.19457,1.76492,2.04227,1.48648,0.00124037,0.00124037,0.00124037
18,60.2621,1.13703,1.19773,0.98311,0.54309,0.57792,0.49386,0.28064,1.8747,1.55221,1.5072,0.00122858,0.00122858,0.00122858
19,62.5291,1.09236,1.36552,0.90378,0.64663,0.50649,0.52672,0.27371,1.9881,1.53696,1.54997,0.00121679,0.00121679,0.00121679
20,64.873,2.04321,1.64227,1.51292,0.70558,0.60636,0.62258,0.35021,2.03645,1.69875,1.54929,0.001205,0.001205,0.001205
21,67.2481,1.78818,1.40964,1.39447,0.66356,0.63635,0.62088,0.37951,2.07779,2.24536,1.59546,0.00119322,0.00119322,0.00119322
22,69.6459,1.50461,1.13922,1.24696,0.72631,0.46104,0.57738,0.34906,2.00676,1.86452,1.56792,0.00118143,0.00118143,0.00118143
23,71.9424,1.07612,1.00594,0.88459,0.59957,0.55195,0.60766,0.34183,2.0843,1.96029,1.58604,0.00116964,0.00116964,0.00116964
24,74.2496,1.59741,1.115,1.34529,0.59488,0.69481,0.63341,0.4109,1.95232,1.84888,1.54872,0.00115785,0.00115785,0.00115785
25,76.6127,1.74962,1.08744,1.35095,0.80314,0.62116,0.66074,0.40675,1.91025,1.8786,1.56634,0.00114606,0.00114606,0.00114606
26,78.8997,1.60163,1.37906,1.41815,0.83099,0.53247,0.68107,0.42903,1.55298,1.57632,1.34322,0.00113427,0.00113427,0.00113427
27,81.412,1.04589,0.99129,0.91772,0.55096,0.83727,0.69651,0.4201,1.69402,1.32347,1.41361,0.00112248,0.00112248,0.00112248
28,83.7633,1.45151,1.15172,1.31964,0.67775,0.61986,0.68538,0.41309,1.94212,1.36073,1.52481,0.00111069,0.00111069,0.00111069
29,86.1428,1.68366,1.52842,1.5586,0.89981,0.48701,0.68004,0.35847,1.84157,1.34339,1.4147,0.0010989,0.0010989,0.0010989
30,88.4411,1.34487,0.96489,1.17564,0.974,0.47774,0.62725,0.33215,1.86372,1.99128,1.49349,0.00108711,0.00108711,0.00108711
31,90.7882,1.78423,1.32676,1.41348,0.55826,0.53247,0.51026,0.35512,1.68957,1.66242,1.37742,0.00107532,0.00107532,0.00107532
32,93.1457,1.40326,1.05925,1.23868,0.60848,0.72325,0.67339,0.39169,1.50969,1.15255,1.31764,0.00106353,0.00106353,0.00106353
33,95.4086,1.30551,0.94923,1.22473,0.82859,0.76324,0.84962,0.45193,1.69035,1.15346,1.37704,0.00105174,0.00105174,0.00105174
34,97.8183,1.43704,1.26347,1.28388,0.83522,0.79656,0.83938,0.40383,2.05122,1.27486,1.59496,0.00103995,0.00103995,0.00103995
35,100.304,1.73246,2.42434,1.70267,0.84784,0.6594,0.75685,0.36036,2.19331,1.51053,1.75903,0.00102817,0.00102817,0.00102817
36,102.645,1.52531,1.11813,1.3944,0.74493,0.58238,0.69596,0.32004,2.02651,1.91535,1.56359,0.00101638,0.00101638,0.00101638
37,104.972,1.67224,1.08928,1.3168,0.77167,0.59139,0.63773,0.32634,1.75963,1.75699,1.4322,0.00100459,0.00100459,0.00100459
38,107.26,1.52008,1.02725,1.17914,0.49851,0.46117,0.40769,0.2526,1.69427,1.90913,1.41558,0.000992798,0.000992798,0.000992798
39,109.532,1.36783,0.87834,1.14592,0.64793,0.5734,0.58201,0.38566,1.46597,1.43008,1.31815,0.000981008,0.000981008,0.000981008
