epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7575,2.00175,3.82615,1.65547,0.36548,0.35587,0.26762,0.1352,1.83423,4.74318,1.81072,0.00044987,0.00044987,0.00044987
2,48.5573,1.67038,1.91251,1.50331,0.00394,0.10844,0.00035,0.00017,3.17717,6190.77,17.8116,0.000918563,0.000918563,0.000918563
3,64.0018,1.73271,1.88003,1.58323,0,0,0,0,nan,nan,nan,0.0013794,0.0013794,0.0013794
4,77.0649,1.77165,1.83562,1.6136,0.00215,0.11101,0.00086,0.00024,2.92202,823.066,13.1607,0.00139363,0.00139363,0.00139363
5,89.7911,1.70616,1.76828,1.5775,0.15623,0.21791,0.08929,0.03661,2.41686,16.2741,3.42782,0.00138184,0.00138184,0.00138184
6,102.615,1.63761,1.62552,1.48868,0.16755,0.42398,0.37007,0.1781,2.19918,21.4391,2.48824,0.00137005,0.00137005,0.00137005
7,115.626,1.61432,1.64006,1.54383,0.11665,0.14354,0.05273,0.01891,2.30324,19.4929,2.30033,0.00135826,0.00135826,0.00135826
8,128.354,1.59109,1.64235,1.50224,0.28099,0.41896,0.28285,0.10999,1.92214,8.35472,1.97932,0.00134648,0.00134648,0.00134648
9,141.134,1.62611,1.57202,1.49544,0.5271,0.54949,0.60819,0.29807,1.81459,9.81334,1.93565,0.00133469,0.00133469,0.00133469
10,153.842,1.53853,1.47382,1.47004,0.5466,0.49408,0.50376,0.24311,2.00861,3.33401,1.95669,0.0013229,0.0013229,0.0013229
11,166.533,1.52907,1.43637,1.42884,0.68215,0.63138,0.63563,0.39492,1.65288,2.45961,1.6677,0.00131111,0.00131111,0.00131111
12,179.475,1.4843,1.36101,1.41771,0.77924,0.64388,0.72539,0.41161,1.65569,2.39788,1.63843,0.00129932,0.00129932,0.00129932
13,192.426,1.49503,1.37082,1.40362,0.62936,0.70637,0.64742,0.34565,1.60451,3.66485,1.56688,0.00128753,0.00128753,0.00128753
14,204.963,1.45539,1.31708,1.3619,0.85343,0.6737,0.74811,0.42219,1.61798,1.94921,1.59323,0.00127574,0.00127574,0.00127574
15,217.929,1.44659,1.3104,1.3683,0.83308,0.68324,0.75482,0.45395,1.48253,2.0579,1.4433,0.00126395,0.00126395,0.00126395
16,230.711,1.4218,1.26472,1.36349,0.81967,0.75473,0.79364,0.44051,1.54183,1.7552,1.51301,0.00125216,0.00125216,0.00125216
17,243.393,1.43773,1.26576,1.39023,0.79933,0.72503,0.78159,0.43221,1.54834,1.66743,1.51374,0.00124037,0.00124037,0.00124037
18,256.123,1.41328,1.24999,1.39721,0.7084,0.72008,0.78953,0.39197,1.63678,1.36687,1.60065,0.00122858,0.00122858,0.00122858
19,269.046,1.41164,1.21759,1.37283,0.84906,0.61951,0.74098,0.41321,1.51412,2.01656,1.48388,0.00121679,0.00121679,0.00121679
20,282.018,1.43406,1.25362,1.36305,0.87417,0.73751,0.7952,0.46851,1.64371,1.62774,1.52321,0.001205,0.001205,0.001205
21,295.041,1.45923,1.19834,1.35849,0.79863,0.76498,0.79814,0.40996,1.42723,1.54105,1.38797,0.00119322,0.00119322,0.00119322
22,308.021,1.39105,1.17105,1.31645,0.8359,0.76798,0.79604,0.48502,1.47191,1.82646,1.40222,0.00118143,0.00118143,0.00118143
23,321.057,1.42746,1.16336,1.37419,0.80382,0.76962,0.80282,0.41642,1.46555,1.47364,1.41677,0.00116964,0.00116964,0.00116964
24,333.832,1.39094,1.16281,1.3558,0.86921,0.76913,0.8372,0.48306,1.49058,1.30798,1.46014,0.00115785,0.00115785,0.00115785
25,346.931,1.38132,1.12633,1.32294,0.83138,0.7179,0.79018,0.4634,1.52271,1.97133,1.47545,0.00114606,0.00114606,0.00114606
26,359.88,1.35316,1.12324,1.34145,0.89957,0.81324,0.87413,0.50089,1.44181,1.19063,1.37071,0.00113427,0.00113427,0.00113427
27,373.076,1.30347,1.05648,1.29258,0.89867,0.77615,0.83507,0.45526,1.51967,1.24089,1.39805,0.00112248,0.00112248,0.00112248
28,386.238,1.34961,1.08817,1.29979,0.87699,0.83216,0.88265,0.53778,1.38754,1.06682,1.33047,0.00111069,0.00111069,0.00111069
29,399.406,1.34766,1.138,1.32414,0.88519,0.7945,0.84511,0.47736,1.49684,1.15766,1.37953,0.0010989,0.0010989,0.0010989
30,412.524,1.31457,1.07704,1.29857,0.72865,0.81537,0.85896,0.38935,1.46671,1.13743,1.39421,0.00108711,0.00108711,0.00108711
31,425.578,1.31565,1.07151,1.29857,0.82253,0.83566,0.87018,0.50418,1.42097,1.07028,1.34334,0.00107532,0.00107532,0.00107532
32,438.56,1.32866,1.05253,1.30003,0.819,0.79525,0.83642,0.51483,1.49682,1.24638,1.39444,0.00106353,0.00106353,0.00106353
33,451.561,1.33225,1.0284,1.29297,0.85245,0.81227,0.87293,0.5196,1.45557,1.03837,1.32536,0.00105174,0.00105174,0.00105174
34,464.596,1.31582,1.02424,1.25691,0.90374,0.83574,0.88877,0.51528,1.42144,1.02778,1.32042,0.00103995,0.00103995,0.00103995
35,477.649,1.32886,1.05572,1.28616,0.89566,0.83172,0.8787,0.50316,1.40356,1.05261,1.30258,0.00102817,0.00102817,0.00102817
36,490.572,1.30859,1.02323,1.28518,0.89798,0.83995,0.88538,0.52619,1.4779,0.99406,1.33738,0.00101638,0.00101638,0.00101638
37,503.531,1.30173,0.97612,1.24806,0.88807,0.79272,0.8667,0.53442,1.46236,1.044,1.34176,0.00100459,0.00100459,0.00100459
38,516.631,1.27027,0.95072,1.24094,0.87094,0.84036,0.87262,0.52439,1.35435,1.07474,1.2846,0.000992798,0.000992798,0.000992798
39,529.514,1.27018,0.99046,1.24892,0.86571,0.83822,0.87415,0.50341,1.38999,1.00797,1.30251,0.000981008,0.000981008,0.000981008
40,542.548,1.29859,0.98578,1.26145,0.88661,0.84325,0.88723,0.48681,1.38307,0.99781,1.29797,0.000969219,0.000969219,0.000969219
41,555.898,1.30752,0.97885,1.25468,0.85046,0.86818,0.88404,0.54097,1.32979,0.99589,1.2671,0.00095743,0.00095743,0.00095743
42,569.144,1.28621,0.99516,1.26359,0.91534,0.84275,0.89845,0.54556,1.33965,0.89022,1.25806,0.000945641,0.000945641,0.000945641
43,582.175,1.2529,0.96083,1.26175,0.85043,0.82175,0.8653,0.4739,1.51639,1.03461,1.37395,0.000933851,0.000933851,0.000933851
